alert_id,sec_id,trade_date,time_window_start,anomaly_type,severity,remarks,time_to_run
1,4428506,2026-02-17,11:01:00,sustained_order_book_imbalance,HIGH,"Sustained bid-side imbalance for 9 consecutive minutes; max |OBI|=0.935, OBI z-score peaked at 7.6σ. Top-of-book concentration was elevated versus the ticker baseline, suggesting a persistent book skew rather than a one-minute spike.",3.5
2,35701,2026-02-17,22:36:00,spread_depth_dislocation,HIGH,Spread widened abnormally for 6 minutes with max spread z-score 7.6σ and top-of-book depth skewed toward the bid side. This combination is more suspicious than a standalone spread spike because quote width and displayed depth moved together.,3.5
3,3752951,2026-02-17,23:34:00,spread_depth_dislocation,HIGH,Spread widened abnormally for 4 minutes with max spread z-score 7.6σ and top-of-book depth skewed toward the bid side. This combination is more suspicious than a standalone spread spike because quote width and displayed depth moved together.,3.5
4,4605516,2026-02-18,09:03:00,spread_depth_dislocation,HIGH,Spread widened abnormally for 5 minutes with max spread z-score 7.3σ and top-of-book depth skewed toward the bid side. This combination is more suspicious than a standalone spread spike because quote width and displayed depth moved together.,3.5
5,550109,2026-02-18,11:50:00,spread_depth_dislocation,HIGH,Spread widened abnormally for 10 minutes with max spread z-score 7.6σ and top-of-book depth skewed toward the bid side. This combination is more suspicious than a standalone spread spike because quote width and displayed depth moved together.,3.5
6,4605516,2026-02-18,11:59:00,spread_depth_dislocation,HIGH,Spread widened abnormally for 5 minutes with max spread z-score 7.6σ and top-of-book depth skewed toward the bid side. This combination is more suspicious than a standalone spread spike because quote width and displayed depth moved together.,3.5
7,8126151,2026-02-19,00:56:00,spread_depth_dislocation,HIGH,Spread widened abnormally for 4 minutes with max spread z-score 7.4σ and top-of-book depth skewed toward the bid side. This combination is more suspicious than a standalone spread spike because quote width and displayed depth moved together.,3.5
8,8126151,2026-02-19,11:08:00,spread_depth_dislocation,HIGH,Spread widened abnormally for 4 minutes with max spread z-score 7.6σ and top-of-book depth skewed toward the bid side. This combination is more suspicious than a standalone spread spike because quote width and displayed depth moved together.,3.5
9,64278,2026-02-19,23:37:00,spread_depth_dislocation,HIGH,Spread widened abnormally for 4 minutes with max spread z-score 7.6σ and top-of-book depth skewed toward the bid side. This combination is more suspicious than a standalone spread spike because quote width and displayed depth moved together.,3.5
10,33771,2026-02-20,00:55:00,spread_depth_dislocation,HIGH,Spread widened abnormally for 4 minutes with max spread z-score 7.3σ and top-of-book depth skewed toward the ask side. This combination is more suspicious than a standalone spread spike because quote width and displayed depth moved together.,3.5
11,3559296,2026-02-20,10:44:00,spread_depth_dislocation,HIGH,Spread widened abnormally for 5 minutes with max spread z-score 7.6σ and top-of-book depth skewed toward the bid side. This combination is more suspicious than a standalone spread spike because quote width and displayed depth moved together.,3.5
12,33771,2026-02-20,13:42:00,spread_depth_dislocation,HIGH,Spread widened abnormally for 4 minutes with max spread z-score 7.5σ and top-of-book depth skewed toward the bid side. This combination is more suspicious than a standalone spread spike because quote width and displayed depth moved together.,3.5
